contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
214 pessoas,Meta R$ 30.000,R$ 33.030,Campanha Tudo-ou-nada , São Paulo	 SP,Casa da Xiclet - 15 anos de provocação e arte,110%,R$ 33.030,02/10/2015,/casadaxiclet?ref=ctrse_explore
168 pessoas,Meta R$ 30.000,R$ 32.989,Campanha Flexível , São Paulo	 SP,A Marcela quer levantar 60 casas em SP. Apoie!,109%,R$ 32.989,09/05/2019,/marcelateto?ref=ctrse_explore
187 pessoas,Meta R$ 35.000,R$ 32.984,Campanha Tudo-ou-nada , São Paulo	 SP,LAB SP - Augusta ComVida,94%,R$ 32.984,18/05/2013,/augustacomvida?ref=ctrse_explore
245 pessoas,Meta R$ 28.188,R$ 32.933,Campanha Flexível , Porto Alegre	 RS,Thiago Ramil - 2º disco "Em Frente",116%,R$ 32.933,15/06/2018,/thiagoramil?ref=ctrse_explore
293 pessoas,Meta R$ 31.350,R$ 32.911,Campanha Tudo-ou-nada , Osasco	 SP,NERD of the DEAD - Websérie,104%,R$ 32.911,07/05/2013,/nerdofthedead?ref=ctrse_explore
233 pessoas,Meta R$ 20.000,R$ 32.911,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Belregard,164%,R$ 32.911,09/12/2017,/belregard?ref=ctrse_explore
164 pessoas,Meta R$ 32.098,R$ 32.875,Campanha Tudo-ou-nada , São Paulo	 SP,Patrocínio de bolsas para o Programa Intento 2014,102%,R$ 32.875,02/10/2014,/bolsasprogramaintento2014?ref=ctrse_explore
411 pessoas,Meta R$ 30.000,R$ 32.825,Campanha Tudo-ou-nada , São Paulo	 SP,1º DVD - O Baile de Máscaras,109%,R$ 32.825,09/06/2014,/galldinodvd?ref=ctrse_explore
229 pessoas,Meta R$ 14.500,R$ 32.816,Campanha Tudo-ou-nada , Santos	 SP,Awaken,226%,R$ 32.816,19/09/2018,/awaken_segunda_chance?ref=ctrse_explore
489 pessoas,Meta R$ 30.000,R$ 32.793,Campanha Tudo-ou-nada , Brasília	 DF,Calendário Ilustrado 2016 Fundação Athos Bulcão ,109%,R$ 32.793,01/12/2015,/calendarioathosbulcao2016?ref=ctrse_explore
345 pessoas,Meta R$ 30.050,R$ 32.789,Campanha Tudo-ou-nada , São Paulo	 SP,CryptoRave 2015,109%,R$ 32.789,22/04/2015,/CryptoRave2015?ref=ctrse_explore
